name,lsad,lat,lon,aland_sqmi
Acres Green CDP,57,39.555736,-104.89582,0.601
Aetna Estates CDP,57,39.738127,-104.673221,0.131
Aguilar town,43,37.403626,-104.655036,0.392
Air Force Academy CDP,57,38.994185,-104.863922,9.989
Akron town,43,40.163466,-103.220274,2.772
Alamosa city,25,37.474528,-105.876956,7.965
Alamosa East CDP,57,37.476658,-105.839745,3.254
Allenspark CDP,57,40.231281,-105.517986,11.938
Alma town,43,39.286131,-106.068893,0.434
Alpine CDP,57,37.687805,-106.586097,1.051
Altona CDP,57,40.121928,-105.296165,1.686
Amherst CDP,57,40.683161,-102.172596,0.454
Antonito town,43,37.076246,-106.010332,0.427
Applewood CDP,57,39.747481,-105.172965,4.065
Arapahoe CDP,57,38.852919,-102.178897,0.277
Arboles CDP,57,37.020861,-107.421744,5.155
Aristocrat Ranchettes CDP,57,40.108496,-104.760575,1.239
Arriba town,43,39.284326,-103.274032,0.499
Arvada city,25,39.833728,-105.150306,38.974
Aspen city,25,39.195154,-106.836807,3.863
Aspen Park CDP,57,39.542654,-105.296307,2.464
Atwood CDP,57,40.550477,-103.274598,1.034
Ault town,43,40.589208,-104.73943,1.765
Aurora city,25,39.703633,-104.720088,163.009
Avon town,43,39.641891,-106.51581,8.319
Avondale CDP,57,38.235183,-104.348232,0.628
Bark Ranch CDP,57,40.117803,-105.440718,0.862
Basalt town,43,39.368585,-107.04876,2.023
Battlement Mesa CDP,57,39.452767,-108.00394,11.157
Bayfield town,43,37.234075,-107.59516,1.649
Bennett town,43,39.741727,-104.428719,6.903
Berkley CDP,57,39.806595,-105.028775,3.597
Berthoud town,43,40.284675,-104.965515,12.996
Bethune town,43,39.303822,-102.423414,0.162
Beulah Valley CDP,57,38.07271,-104.9817,2.572
Black Forest CDP,57,39.063648,-104.679613,100.64
Black Hawk city,25,39.801658,-105.493287,3.062
Blanca town,43,37.439268,-105.513544,1.833
Blende CDP,57,38.249779,-104.568707,0.839
Blue River town,43,39.448464,-106.036777,2.434
Blue Sky CDP,57,40.300094,-103.805528,0.036
Blue Valley CDP,57,39.699687,-105.492107,1.052
Bonanza town,43,38.296617,-106.141869,0.437
Bonanza Mountain Estates CDP,57,39.97689,-105.479577,0.168
Boone town,43,38.250596,-104.26099,0.379
Boulder city,25,40.024431,-105.251251,26.894
Bow Mar town,43,39.626594,-105.050914,0.662
Brandon CDP,57,38.4464,-102.441155,0.117
Branson town,43,37.015493,-103.883777,0.245
Breckenridge town,43,39.49946,-106.043243,6.043
Brick Center CDP,57,39.591236,-104.460798,5.778
Briggsdale CDP,57,40.636005,-104.324272,0.438
Brighton city,25,39.965699,-104.79417,21.434
Brook Forest CDP,57,39.573879,-105.394396,1.389
Brookside town,43,38.413495,-105.190945,0.474
Broomfield city,25,39.953593,-105.050787,32.968
Brush city,25,40.259263,-103.636334,2.831
Buena Vista town,43,38.831989,-106.138657,3.475
Burlington city,25,39.304171,-102.271466,2.152
Byers CDP,57,39.709435,-104.212848,11.45
Calhan town,43,39.034429,-104.299341,0.833
Campo town,43,37.104711,-102.578798,0.144
Cañon City city,25,38.441886,-105.220899,12.413
Capulin CDP,57,37.281886,-106.104946,0.947
Carbonate town,43,39.746462,-107.340127,0.992
Carbondale town,43,39.395559,-107.21502,2.076
Cascade-Chipita Park CDP,57,38.947428,-104.998103,13.349
Castle Pines city,25,39.46249,-104.870584,9.593
Castle Pines Village CDP,57,39.441799,-104.897037,4.452
Castle Rock town,43,39.376194,-104.852922,34.742
Cathedral CDP,57,38.083629,-107.030681,21.279
Catherine CDP,57,39.403756,-107.144959,0.858
Cattle Creek CDP,57,39.466634,-107.259917,1.295
Cedaredge town,43,38.894097,-107.925485,1.961
Centennial city,25,39.590864,-104.863808,30.156
Center town,43,37.751236,-106.110564,0.864
Central city,25,39.792793,-105.514255,2.371
Chacra CDP,57,39.578397,-107.454907,0.946
Cheraw town,43,38.10766,-103.511022,0.18
Cherry Creek CDP,57,39.609475,-104.864475,1.67
Cherry Hills Village city,25,39.637418,-104.94747,6.206
Cheyenne Wells town,43,38.819202,-102.35203,1.07
